Company Id,Company Owner.id,Company Owner,Company Name,Phone,Parent/Holding Companies,Association or Affiliation,Website,Tag,Description,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Last Activity Time,QuickBooks ID,Billing Street,Billing City,Billing State,Billing Country,Billing Code
zcrm_6921033000000579448,zcrm_6921033000000570001,Cory Kronheim,BlueStamp Health,650-422-8669,,,,Referral,,zcrm_6921033000000570001,Cory Kronheim,zcrm_6921033000000570001,Cory Kronheim,2025-07-25 15:49:38,2025-08-06 10:44:58,2026-02-12 16:01:13,,,,,,
zcrm_6921033000000579449,zcrm_6921033000000570001,Cory Kronheim,Brown Edwards & Co LLP,434-401-4029,,,,Prospect,,zcrm_6921033000000570001,Cory Kronheim,zcrm_6921033000000570001,Cory Kronheim,2025-07-25 15:49:38,2025-08-06 10:45:09,2026-03-23 14:23:42,,,,,,
zcrm_6921033000000579450,zcrm_6921033000000570001,Cory Kronheim,Crowe LLP,,,,,Referral,,zcrm_6921033000000570001,Cory Kronheim,zcrm_6921033000000570001,Cory Kronheim,2025-07-25 15:49:38,2025-08-06 10:46:55,2026-03-23 14:23:42,,,,,,
zcrm_6921033000000579452,zcrm_6921033000000570001,Cory Kronheim,Cumberland Valley National,606-310-2361,,,,Prospect,,zcrm_6921033000000570001,Cory Kronheim,zcrm_6921033000000570001,Cory Kronheim,2025-07-25 15:49:38,2025-08-06 10:47:02,2026-03-23 14:23:41,,,,,,
zcrm_6921033000000579457,zcrm_6921033000000570001,Cory Kronheim,Xavier University,,,,,Contact,,zcrm_6921033000000570001,Cory Kronheim,zcrm_6921033000000570001,Cory Kronheim,2025-07-25 15:49:38,2025-08-06 11:00:40,2026-03-23 14:23:42,,,,,,
zcrm_6921033000000579458,zcrm_6921033000000570001,Cory Kronheim,UT Federal Credit Union,,,,,Prospect,,zcrm_6921033000000570001,Cory Kronheim,zcrm_6921033000000570001,Cory Kronheim,2025-07-25 15:49:38,2025-08-06 11:00:27,2026-03-23 14:23:42,,,,,,
zcrm_6921033000000579459,zcrm_6921033000000570001,Cory Kronheim,BrightView Capital (Northwestern),615-742-5166,,,,Prospect,Mutual Funds,zcrm_6921033000000570001,Cory Kronheim,zcrm_6921033000000570001,Cory Kronheim,2025-07-25 15:49:38,2025-08-06 10:45:06,2026-03-23 14:23:41,,,,,,
zcrm_6921033000000579460,zcrm_6921033000000570001,Cory Kronheim,True North Classical Academy,305-749-5725,,,,Prospect,,zcrm_6921033000000570001,Cory Kronheim,zcrm_6921033000000570001,Cory Kronheim,2025-07-25 15:49:38,2025-08-06 16:19:45,2026-03-23 14:23:41,,,,,,
zcrm_6921033000000579461,zcrm_6921033000000570001,Cory Kronheim,BankTennessee,,,,,Prospect,,zcrm_6921033000000570001,Cory Kronheim,zcrm_6921033000000570001,Cory Kronheim,2025-07-25 15:49:38,2025-08-06 10:44:42,2026-03-23 14:23:41,,,,,,
zcrm_6921033000000579463,zcrm_6921033000000570001,Cory Kronheim,"Carr, Riggs and Ingram",,,,,Referral,,zcrm_6921033000000570001,Cory Kronheim,zcrm_6921033000000570001,Cory Kronheim,2025-07-25 15:49:38,2025-08-06 10:45:21,2026-03-23 14:23:41,,,,,,
